age,avebooks,readprint,readaudio,readebook
71 to 93,3,1,1,0
71 to 93,6,1,0,0
71 to 93,18,2,0,1
71 to 93,13,5,0,0
71 to 93,6,1,0,1
71 to 93,8,10,0,1
71 to 93,29,2,0,0
71 to 93,15,1,0,0
71 to 93,12,1,0,0
71 to 93,12,1,0,1
71 to 93,6,1,0,0
71 to 93,50,1,0,0
71 to 93,10,1,0,0
71 to 93,60,2,0,0
71 to 93,1,1,0,0
71 to 93,4,0,0,0
71 to 93,97,1,0,1
71 to 93,97,1,0,0
71 to 93,37,2,1,0
71 to 93,15,1,0,0
71 to 93,16,3,2,0
71 to 93,8,2,1,0
71 to 93,20,2,1,2
71 to 93,7,4,1,2
71 to 93,63,2,0,1
71 to 93,1,1,0,0
71 to 93,30,1,0,1
71 to 93,19,3,0,0
71 to 93,41,3,1,1
71 to 93,19,5,1,3
71 to 93,7,6,0,1
71 to 93,2,1,0,0
71 to 93,75,1,0,0
71 to 93,24,1,0,0
71 to 93,1,1,0,0
71 to 93,36,1,0,0
71 to 93,20,1,0,1
71 to 93,97,1,0,1
71 to 93,75,1,1,0
71 to 93,3,1,0,0
71 to 93,40,3,0,0
71 to 93,5,1,0,0
71 to 93,17,5,1,0
71 to 93,61,3,1,0
71 to 93,12,0,1,1
71 to 93,5,1,0,0
71 to 93,43,2,0,0
71 to 93,2,3,0,0
71 to 93,97,1,0,0
71 to 93,4,1,0,0
71 to 93,32,2,0,0
71 to 93,3,1,1,0
71 to 93,7,5,1,1
71 to 93,12,1,0,0
71 to 93,15,1,1,1
71 to 93,26,2,0,1
71 to 93,18,1,1,1
71 to 93,4,1,0,0
71 to 93,12,0,1,0
71 to 93,30,1,0,0
71 to 93,3,1,0,0
71 to 93,50,1,0,0
71 to 93,50,1,1,0
71 to 93,31,2,0,0
71 to 93,9,2,0,0
71 to 93,1,1,0,1
71 to 93,3,1,1,1
71 to 93,13,2,0,0
71 to 93,14,4,1,1
71 to 93,12,3,0,1
71 to 93,9,5,0,1
71 to 93,70,5,1,1
71 to 93,8,4,0,2
71 to 93,33,4,0,1
71 to 93,37,4,1,1
71 to 93,3,1,0,1
71 to 93,97,1,0,0
71 to 93,5,1,0,0
71 to 93,9,1,0,0
71 to 93,42,2,1,0
71 to 93,19,2,1,2
71 to 93,35,1,1,0
71 to 93,3,1,1,1
71 to 93,12,1,0,0
71 to 93,25,1,0,0
71 to 93,25,1,0,1
71 to 93,32,1,0,0
71 to 93,30,1,0,0
71 to 93,25,1,1,1
71 to 93,41,2,2,0
71 to 93,3,1,0,0
71 to 93,25,1,0,0
71 to 93,1,1,0,0
71 to 93,3,1,0,0
71 to 93,5,1,0,0
71 to 93,20,0,0,1
71 to 93,2,1,0,0
71 to 93,2,1,0,0
71 to 93,12,1,0,0
71 to 93,7,2,1,1
71 to 93,3,1,0,0
71 to 93,5,1,0,0
71 to 93,4,1,0,0
71 to 93,1,1,0,0
71 to 93,2,1,0,0
71 to 93,3,1,0,0
71 to 93,1,1,0,0
71 to 93,30,1,0,0
71 to 93,3,0,0,0
71 to 93,12,1,0,1
71 to 93,40,1,1,1
71 to 93,12,1,0,0
71 to 93,35,1,1,1
